các | loài
các loài | chim
loài chim | săn
chim săn | mồi
săn mồi | có
mồi có | cái
có cái | nhìn
cái nhìn | sắc
nhìn sắc | nhất
sắc nhất | chim
nhất chim | cắt
chim cắt | di
cắt di | cư
di cư | có
cư có | thể
có thể | nhận
thể nhận | ra
nhận ra | một
ra một | con
một con | bồ
con bồ | câu
bồ câu | ở
câu ở | khoảng
ở khoảng | cách
khoảng cách | 8
cách 8 | km
8 km | đại
km đại | bàng
đại bàng | có
bàng có | thể
có thể | phát
thể phát | hiện
phát hiện | ra
hiện ra | một
ra một | con
một con | thỏ
con thỏ | rừng
thỏ rừng | từ
rừng từ | trên
từ trên | cao
trên cao | 3
cao 3 | 000
3 000 | m
động | vật
động vật | có
vật có | mắt
có mắt | to
mắt to | nhất
to nhất | là
nhất là | mực
là mực | thẻ
mực thẻ | khổng
thẻ khổng | lồ
khổng lồ | thủy
lồ thủy | tinh
thủy tinh | thể
tinh thể | của
thể của | nó
của nó | có
nó có | đường
có đường | kính
đường kính | 38
kính 38 | cm
bằng | đường
bằng đường | kính
đường kính | một
kính một | quả
một quả | bóng
quả bóng | rổ
bóng rổ | ông
rổ ông | cũng
ông cũng | thúc
cũng thúc | giục
thúc giục | cộng
giục cộng | đồng
cộng đồng | quốc
đồng quốc | tế
quốc tế | tìm
tế tìm | các
tìm các | giải
các giải | pháp
giải pháp | ngoại
pháp ngoại | giao
ngoại giao | để
giao để | đi
để đi | đến
đi đến | kết
đến kết | thúc
kết thúc | cuộc
thúc cuộc | khủng
cuộc khủng | hoảng
khủng hoảng | hạt
hoảng hạt | nhân
hạt nhân | với
nhân với | iran
với iran | nấm
iran nấm | có
nấm có | thể
có thể | chữa
thể chữa | bệnh
chữa bệnh | tim
bệnh tim | giới
tim giới | nghệ
giới nghệ | sĩ
nghệ sĩ | cũng
sĩ cũng | có
cũng có | nhiều
có nhiều | chuyện
nhiều chuyện | chẳng
chuyện chẳng | hạn
chẳng hạn | khi
hạn khi | tôi
khi tôi | đóng
tôi đóng | nhân
đóng nhân | vật
nhân vật | xan
vật xan | tuýt
xan tuýt | có
tuýt có | nhiều
có nhiều | người
nhiều người | tỏ
người tỏ | ra
tỏ ra | không
ra không | hài
không hài | lòng
hài lòng | nhưng
lòng nhưng | tôi
nhưng tôi | cũng
tôi cũng | bỏ
cũng bỏ | qua
bỏ qua | hầu
qua hầu | hết
hầu hết | các
hết các | dự
các dự | án
dự án | của
án của | pmu
của pmu | 18
pmu 18 | làm
18 làm | chủ
làm chủ | đầu
chủ đầu | tư
đầu tư | đều
tư đều | có
đều có | vấn
có vấn | đề
vấn đề | về
đề về | chất
về chất | lượng
chất lượng | ahuja
lượng ahuja | và
ahuja và | các
và các | cộng
các cộng | sự
cộng sự | của
sự của | ông
của ông | ở
ông ở | mỹ
ở mỹ | anh
mỹ anh | và
anh và | argentina
và argentina | tiến
argentina tiến | hành
tiến hành | phân
hành phân | tích
phân tích | mẫu
tích mẫu | máu
mẫu máu | của
máu của | hơn
của hơn | 4
hơn 4 | 300
4 300 | trường
300 trường | hợp
trường hợp | có
hợp có | nhiễm
có nhiễm | hiv
nhiễm hiv | và
hiv và | khỏe
và khỏe | mạnh
khỏe mạnh | theo
mạnh theo | trung
theo trung | tâm
trung tâm | thông
tâm thông | tin
thông tin | thưong
tin thưong | mại
thưong mại | dù
mại dù | đang
dù đang | là
đang là | mùa
là mùa | xây
mùa xây | dựng
xây dựng | cuối
dựng cuối | năm
cuối năm | thị
năm thị | trường
thị trường | thép
trường thép | trong
thép trong | nước
trong nước | vẫn
nước vẫn | chuyển
vẫn chuyển | động
chuyển động | chậm
động chậm | chạp
chậm chạp | với
chạp với | mụn
với mụn | giộp
mụn giộp | sinh
giộp sinh | dục
sinh dục | hoặc
dục hoặc | chốc
hoặc chốc | mép
chốc mép | dùng
mép dùng | 200mg
dùng 200mg | uống
200mg uống | 5
uống 5 | lần
5 lần | mỗi
lần mỗi | ngày
mỗi ngày | trong
ngày trong | 7
trong 7 | 10
7 10 | ngày
10 ngày | chị
ngày chị | có
chị có | thể
có thể | cân
thể cân | nhắc
cân nhắc | về
nhắc về | tình
về tình | cảm
tình cảm | đối
cảm đối | với
đối với | anh
với anh | ấy
anh ấy | trong
ấy trong | giai
trong giai | đoạn
giai đoạn | này
đoạn này | có
này có | người
có người | đã
người đã | thốt
đã thốt | lên
thốt lên | rằng
lên rằng | chúng
rằng chúng | tôi
chúng tôi | ra
tôi ra | trung
ra trung | ương
trung ương | muốn
ương muốn | gặp
muốn gặp | các
gặp các | vị
các vị | lãnh
vị lãnh | đạo
lãnh đạo | cấp
đạo cấp | cao
cấp cao | không
cao không | khó
không khó | lắm
khó lắm | nhưng
lắm nhưng | về
nhưng về | địa
về địa | phương
địa phương | tìm
phương tìm | gặp
tìm gặp | được
gặp được | chủ
được chủ | tịch
chủ tịch | còn
tịch còn | khó
còn khó | hơn
khó hơn | lên
hơn lên | trời
lên trời | bắt
trời bắt | sao
bắt sao | nếu
sao nếu | chỉ
nếu chỉ | là
chỉ là | một
là một | ban
một ban | quản
ban quản | lý
quản lý | thực
lý thực | thi
thực thi | một
thi một | số
một số | nhiệm
số nhiệm | vụ
nhiệm vụ | được
vụ được | giao
được giao | có
giao có | trách
có trách | nhiệm
trách nhiệm | rõ
nhiệm rõ | ràng
rõ ràng | thì
ràng thì | không
thì không | sao
không sao | angelina
sao angelina | jolie
angelina jolie | sẽ
jolie sẽ | rước
sẽ rước | đuốc
rước đuốc | olympics
đuốc olympics | trong
olympics trong | đó
trong đó | có
đó có | 375
có 375 | tấn
375 tấn | tss
tấn tss | 244
tss 244 | tấn
244 tấn | bod
tấn bod | 5
bod 5 | 456
5 456 | tấn
456 tấn | cod
tấn cod | 15
cod 15 | tấn
15 tấn | ni
tấn ni | tơ
ni tơ | 8
tơ 8 | tấn
8 tấn | phospho
tấn phospho | và
phospho và | 46
và 46 | tấn
46 tấn | dầu
tấn dầu | mỡ
dầu mỡ | thực
mỡ thực | vật
thực vật | từ
vật từ | ngày
từ ngày | 22
ngày 22 | 5
22 5 | đến
5 đến | 1
đến 1 | 6
1 6 | là
6 là | hội
là hội | nghị
hội nghị | cấp
nghị cấp | cao
cấp cao | các
cao các | bộ
các bộ | trưởng
bộ trưởng | với
trưởng với | quy
với quy | mô
quy mô | 100
mô 100 | người
100 người | điều
người điều | bất
điều bất | ngờ
bất ngờ | thú
ngờ thú | vị
thú vị | là
vị là | cả
là cả | hai
cả hai | ca
hai ca | sĩ
ca sĩ | hồng
sĩ hồng | nhung
hồng nhung | và
nhung và | quang
và quang | dũng
quang dũng | đều
dũng đều | ra
đều ra | mắt
ra mắt | khán
mắt khán | giả
khán giả | bằng
giả bằng | những
bằng những | đêm
những đêm | nhạc
đêm nhạc | trịnh
nhạc trịnh | trong
trịnh trong | thời
trong thời | gian
thời gian | tới
gian tới | hơn
tới hơn | nữa
hơn nữa | trong
nữa trong | một
trong một | số
một số | trường
số trường | hợp
trường hợp | tôi
hợp tôi | thấy
tôi thấy | văn
thấy văn | quyến
văn quyến | chơi
quyến chơi | quá
chơi quá | ích
quá ích | kỷ
ích kỷ | 2
kỷ 2 | còn
2 còn | kaka
còn kaka | dida
kaka dida | cafu
dida cafu | crespo
cafu crespo | schevchenko
crespo schevchenko | và
schevchenko và | pirlo
và pirlo | đang
pirlo đang | khoác
đang khoác | áo
khoác áo | milan
áo milan | rời
milan rời | ngay
rời ngay | bây
ngay bây | giờ
bây giờ | chị
giờ chị | chỉ
chị chỉ | cảm
chỉ cảm | thấy
cảm thấy | một
thấy một | chút
một chút | áy
chút áy | náy
áy náy | một
náy một | chút
một chút | thương
chút thương | hại
thương hại | và
hại và | tội
và tội | nghiệp
tội nghiệp | thôi
nghiệp thôi | khi
thôi khi | được
khi được | phủ
được phủ | lên
phủ lên | vải
lên vải | nó
vải nó | sẽ
nó sẽ | hình
sẽ hình | thành
hình thành | một
thành một | loạt
một loạt | các
loạt các | mấu
các mấu | lồi
mấu lồi | tí
lồi tí | hon
tí hon | khiến
hon khiến | cho
khiến cho | bụi
cho bụi | và
bụi và | các
và các | vật
các vật | chất
vật chất | khác
chất khác | dễ
khác dễ | dàng
dễ dàng | bị
dàng bị | bung
bị bung | ra
bung ra | khi
ra khi | gặp
khi gặp | nước
hãy | tưởng
hãy tưởng | tượng
tưởng tượng | một
tượng một | giọt
một giọt | nước
giọt nước | đang
nước đang | cố
đang cố | gắng
cố gắng | bám
gắng bám | vào
bám vào | những
vào những | cái
những cái | bướu
cái bướu | tí
bướu tí | hon
tí hon | cùng
hon cùng | ngày
cùng ngày | các
ngày các | bác
các bác | sĩ
bác sĩ | của
sĩ của | viện
của viện | cũng
viện cũng | thực
cũng thực | hiện
thực hiện | ca
hiện ca | tạo
ca tạo | hình
tạo hình | vú
hình vú | cho
vú cho | bệnh
cho bệnh | nhân
bệnh nhân | nữ
nhân nữ | 49
nữ 49 | tuổi
49 tuổi | bị
tuổi bị | ung
bị ung | thư
ung thư | vú
thư vú | đã
vú đã | bị
đã bị | cắt
bị cắt | bỏ
cắt bỏ | một
bỏ một | bên
một bên | mourinho
bên mourinho | mắng
mourinho mắng | cầu
mắng cầu | thủ
cầu thủ | xin
thủ xin | lỗi
xin lỗi | đối
lỗi đối | phương
đối phương | thủ
phương thủ | môn
thủ môn | chelsea
môn chelsea | p
cech | phải
cech phải | đang
phải đang | an
đang an | ủi
an ủi | thủ
ủi thủ | môn
thủ môn | mike
môn mike | pollitt
mike pollitt | của
pollitt của | wigan
của wigan | sau
wigan sau | trận
sau trận | đấu
trận đấu | hlv
đấu hlv | chelsea
hlv chelsea | jose
chelsea jose | mourinho
jose mourinho | đã
mourinho đã | chỉ
đã chỉ | trích
chỉ trích | các
trích các | cầu
các cầu | thủ
cầu thủ | của
thủ của | mình
của mình | thiếu
mình thiếu | động
thiếu động | lực
động lực | sau
lực sau | khi
sau khi | chelsea
khi chelsea | chơi
chelsea chơi | kém
chơi kém | cỏi
kém cỏi | trong
cỏi trong | trận
trong trận | mở
trận mở | màn
mở màn | giải
màn giải | ngoại
giải ngoại | hạng
ngoại hạng | anh
hạng anh | mùa
anh mùa | bóng
mùa bóng | mới
bóng mới | quyến
mới quyến | rũ
quyến rũ | trong
rũ trong | mùa
trong mùa | lạnh
mùa lạnh | hơn
lạnh hơn | thế
hơn thế | diễn
thế diễn | xuất
diễn xuất | của
xuất của | cô
của cô | còn
cô còn | được
còn được | so
được so | sách
so sách | với
sách với | đàn
với đàn | chị
đàn chị | mạc
chị mạc | văn
mạc văn | úy
văn úy | và
úy và | làm
và làm | lu
làm lu | mờ
lu mờ | cặp
mờ cặp | thư
cặp thư | kỳ
thư kỳ | và
kỳ và | triệu
và triệu | vy
triệu vy | trong
vy trong | tịch
trong tịch | dương
tịch dương | thiên
dương thiên | sứ
thiên sứ | lý
sứ lý | do
lý do | là
do là | trong
là trong | quyết
trong quyết | định
quyết định | 1550
định 1550 | các
1550 các | đơn
các đơn | vị
đơn vị | này
vị này | chỉ
này chỉ | thấy
chỉ thấy | ngân
thấy ngân | hàng
ngân hàng | nhà
hàng nhà | nước
nhà nước | hướng
nước hướng | dẫn
hướng dẫn | việc
dẫn việc | mở
việc mở | và
mở và | sử
và sử | dụng
sử dụng | tài
dụng tài | khoản
tài khoản | của
khoản của | nhà
của nhà | đầu
nhà đầu | tư
đầu tư | nước
tư nước | ngoài
nước ngoài | và
ngoài và | công
và công | ty
công ty | chứng
ty chứng | khoán
chứng khoán | hoàn
khoán hoàn | toàn
hoàn toàn | không
